X_UP
0
0.05
0.1
0.2
0.4
0.8
1.2
2
3
4
5
6
8
10
12
14
16
18
20
22
24
26
28
30
32
34
36
38
40
42
44
46
48
50
52
54
56
58
60
62
64
66
68
70
72
74
76
78
80
82
84
86
88
90
92
94
96
97
98
99
100

Y_UP
0
0.17762
0.26712
0.39826
0.59651
0.93775
1.26235
1.65502
2.01909
2.43663
2.83931
3.16763
3.68998
4.1447
4.51368
4.81068
5.05979
5.27383
5.45539
5.60793
5.73984
5.86036
5.97119
6.06677
6.14255
6.19894
6.23757
6.26003
6.26795
6.26219
6.24084
6.2013
6.14093
6.0571
5.94744
5.81322
5.65812
5.4859
5.30032
5.10426
4.89701
4.67699
4.44259
4.19222
3.92571
3.64864
3.36812
3.09114
2.8248
2.5735
2.33138
2.09021
1.84162
1.57729
1.291
0.9853
0.66502
0.5009
0.33495
0.16777
0

X_DOWN:
0
0.05
0.1
0.2
0.4
0.8
1.2
2
3
4
5
6
8
10
12
14
16
18
20
22
24
26
28
30
32
34
36
38
40
42
44
46
48
50
52
54
56
58
60
62
64
66
68
70
72
74
76
78
80
82
84
86
88
90
92
94
96
97
98
99
100

Y_DOWN
0
-0.27391
-0.37318
-0.51549
-0.7082
-0.90008
-0.95219
-1.01876
-1.09695
-1.14902
-1.1938
-1.24717
-1.36395
-1.46775
-1.56764
-1.67361
-1.79398
-1.92399
-2.04561
-2.14592
-2.23472
-2.32692
-2.42397
-2.51365
-2.58576
-2.64065
-2.68131
-2.71073
-2.73189
-2.74668
-2.7525
-2.74563
-2.72236
-2.67894
-2.61207
-2.52416
-2.4216
-2.31082
-2.19837
-2.08931
-1.98331
-1.87862
-1.77353
-1.66627
-1.55566
-1.44264
-1.32873
-1.21541
-1.10418
-0.99608
-0.8902
-0.78516
-0.67959
-0.57209
-0.46164
-0.34854
-0.23346
-0.17538
-0.11706
-0.05857
0
